Table:CsvQuestion,,,
tid,question:s,answer1:s,answer2:s
34,谁的灵魂最终与阿尔萨斯融合成为新的巫妖王？,耐奥祖,古尔丹
35,一个部落盗贼对泰兰德使用了偷窃技能，他偷到了什么让所有玩家震惊？,风干的香蕉,新鲜的榴莲
36,魔兽中，“锻造”这个技能有什么效果？,制作装备,可以挖矿
37,莎丽·怀特迈恩的绯闻男友是谁？,莫格莱尼,莫格肉尼
38,艾尔文森林中，有一座人类主城，叫什么?,暴风城,雷霆崖
39,西部荒野由于什么的存在，让生活在这附近的居民战战兢兢？,迪菲亚兄弟会,阿鲁高之子
40,魔兽中，一只叫“无敌”的坐骑，是什么造型？,骷髅战马,骷髅骨龙
41,魔兽世界7.0资料片的名字叫什么？,军团再临,巫妖王之怒
42,“天哪，你真高”是什么种族的口头禅？,侏儒,牛头人
43,泰兰德·语风是“最出色的”什么？,猎手,钓鱼专家
44,熊猫人的种族特长是什么？,美食家,锻造家
45,死亡之翼是黑龙军团的首领还是红龙军团的首领,黑龙之王,红龙之王
46,在第三次大战中，是谁唤醒了玛法里奥，请他再次协助抵抗燃烧军团。,泰兰德,泰红德
47,魔兽世界玩家不能选择的种族是什么？,史莱姆,地精
48,狗男女是哪个副本的首领？,血色修道院,通灵学院
49,德拉诺之王资料片推出后，玩家可以自建什么？,要塞,飞船
50,斯坦索姆掉落的DK剑全名叫什么？,瑞文戴尔之剑 ,达尔文之剑
51,白银之手骑士团的创建者是谁？,阿隆苏斯·法奥 ,阿隆苏斯·奥利奥
52,影牙城堡是哪个阵营的副本？,部落阵营,联盟阵营
53,哪个技能是采集类的技能？,采矿,附魔
54,下列哪个种族可以选择成为圣骑士？,人类,亡灵
55,驯服和控制各种野兽的职业是哪个？,猎人,盗贼
56,希尔瓦娜斯被谁变成了女妖？,阿尔萨斯,伊利丹
57,魔兽世界里，个子最高的种族是什么种族？,牛头人,矮人
58,魔兽世界里，哪个部位的装备进行附魔，可以让该装备获得特效效果？,武器,衣服
59,法师冰箱这个技能，全名叫什么？,寒冰屏障 ,烈火屏障
60,黑暗之门是什么颜色的？,绿色,红色
61,魔兽的第一部资料片叫什么？,燃烧的远征,懵逼的远征
62,魔兽的第二部资料片叫什么？,巫妖王之怒,巫妖怒之王
63,魔兽的第三部资料片叫什么？,大地的裂变,天空的裂纹
64,魔兽的第四部资料片叫什么？,熊猫人之谜 ,小龙人之谜
65,魔兽的第五部资料片叫什么？,德拉诺之王 ,德拉拉之王
66,霜之哀伤是一把什么剑？,堕落符文剑 ,高尚符咒剑
67,灰烬使者的第一任持有者是谁？,莫格莱尼 ,熊猫人
68,埃辛诺斯双刃是一把什么武器？,橙色剑,橙色法杖
69,熔火之心的最终boss是谁？,拉格纳罗斯,奈法里安
70,人类的种族坐骑是什么？,马,科多兽
71,矮人的种族坐骑是什么？,羊,牛
72,侏儒的种族坐骑是什么？,机械鸟,夜刃豹
73,暗夜精灵的种族坐骑是什么？,夜刃豹,陆行鸟
74,兽人的种族坐骑是什么？,狼,豹
75,牛头人的种族坐骑是什么？,科多兽,乌鸦
76,巨魔的种族坐骑是什么？,迅猛龙,翼龙
77,亡灵的种族坐骑是什么？,骸骨战马,骸骨战龙
78,寻找宝藏这个技能是哪个种族的种族天赋？,矮人,巨魔
79,工程专家这个技能是哪个种族的种族天赋？,侏儒,亡灵
80,外交这个技能是哪个种族的种族天赋？,人类,亡灵
81,迅捷这个技能是哪个种族的种族天赋？,暗夜精灵,白昼精灵
82,斧类专精这个技能是哪个种族的种族天赋？,兽人,怪兽
83,潜行是哪个职业的特点？,盗贼,法师
84,投掷武器专精这个技能是哪个种族的种族天赋？,巨魔,巨人
85,食尸这个技能是哪个种族的种族天赋？,亡灵,亡魂
86,下方不可选择联盟阵营的种族是哪个？,兽人,人类
87,下方不可选择联盟阵营的种族是哪个？,牛头人,暗夜精灵
88,下方不可选择联盟阵营的种族是哪个？,亡灵,矮人
89,下方不可选择联盟阵营的种族是哪个？,巨魔,侏儒
90,下方不可选择部落阵营的种族是哪个？,人类,兽人
91,下方不可选择部落阵营的种族是哪个？,暗夜精灵,牛头人
92,下方不可选择部落阵营的种族是哪个？,矮人,亡灵
93,下方不可选择部落阵营的种族是哪个？,侏儒,巨魔
94,板甲是什么职业可穿戴的？,战士,法师
95,皮甲是什么职业可穿戴的？,盗贼,术士
96,布衣是什么职业适合穿戴的？,牧师,圣骑士
97,拥有复活能力的职业是什么？,圣骑士,盗贼
98,联盟的飞行点，有什么飞行物种？,狮鹫,狮子
99,部落的飞行点，有什么飞行物种？,双足飞龙,狮鹫
100,船只是什么阵营的交通工具？,中立,独立
101,吸血蝙蝠是什么阵营的公共交通工具？,部落,联盟
102,鹰角兽是什么阵营的公共交通工具？,联盟,部落
103,NPC头顶的黄色问号表示任务状态是什么？,完成,未领取
104,NPC头顶的黄色感叹号表示任务状态是什么？,任务可领取,任务已领取
105,艾泽拉斯是谁创造的？,泰坦,泰山
106,拉格纳罗斯是谁的手下？,上古之神,上古巨猿
107,上古之神手下四元素首领中的拉格纳罗斯是什么元素的首领？,火元素,石元素
108,魔兽世界一共有几棵世界之树？,三棵,三十棵
109,魔兽世界中有一个充满神秘能量的湖泊，叫什么？,永恒之井,兽人之井
110,上身如同暗夜精灵，下身却是雄鹿的，并守护着艾泽拉斯的森林之王是谁？,塞纳留斯,人猿泰山
111,上古看守者“熊怪兄弟”是乌索尔和谁？,乌索克,乌拉圭
112,魔兽世界的一个资料片名为“TBC”简写的资料片是什么？,燃烧的远征,燃烧的火炬
113,魔兽历史中早期的暗夜精灵皇室统治者叫什么？,艾萨拉 ,恨沙拉
114,影月部落的萨满首领叫什么？,耐奥祖,耐克足
115,是谁将双足飞龙从鹰身女妖的奴役下解放出来的？,凯恩·血蹄 ,凯撒·猪脚
116,是谁帮助萨尔建立了奥格瑞玛？,凯恩·血蹄 ,麦迪文
117,白银之手骑士团 是被谁毁灭的？,巫妖王 ,巫师王
118,艾泽拉斯的雄狮指定是谁？,安度因·洛萨 ,安度因·亡灵
119,乌瑟尔·光明使者是什么集团的领袖？,白银之手骑士团,黄金右脚射门队
120,图拉扬在骑士的选拔过程，以第一名的成绩加入了什么学院？,骑士学院 ,南洋学院
121,血精灵的出生地及主城银月城所在地是哪？,永歌森林,唱歌森林
122,耐奥祖与谁打开了连接着德拉诺世界与艾泽拉斯世界的黑暗之门？,古尔丹,现尔丹
123,暴风城大公爵指的是谁？,伯瓦尔弗塔根,叔瓦尔佛塔根
124,皇家药剂师协会的领导者是谁？,希尔瓦娜斯,卓尔瓦娜斯
125,在生前，克尔苏加德曾是一名强大的人类什么？,法师,骑士
126,克尔苏加德来在一次实验新型病毒的时候被谁发现并被杀死了？,阿尔萨斯 ,阿尔卑斯
127,安多哈尔是哪个王国的主要谷物产地？,洛丹伦王国,紫罗兰王国
128,西瘟疫之地有一个著名的60级5人副本，叫什么？,通灵学院,通魔学院
129,为了阻止北方重镇斯坦索姆城中的居民，成为天灾军团的生力军，是谁下令屠城？,阿尔萨斯,阿尔卑斯
130,为了获得拯救自己的国家与臣民的力量，阿尔萨斯拔出了被诅咒的魔剑叫什么？,霜之哀伤,雪之悲伤
131,成为新一代天启四骑士的成员是下列哪位？,瑞文戴尔男爵 ,联想戴尔男爵
132,一名巨魔统治着一个强大的森林巨魔帝国（阿曼尼帝国），他叫什么？,祖尔金,祖尔银
133,洛丹伦大陆的狗头人（Kobold）加入到哪个阵营中了？,巨魔阵营,亡灵阵营
134,阿拉希帝国所分裂出来的七个王国中 ，势力最弱的阵营是哪个？,奥特兰克王国,奥克斯王国
135,泰兰德·语风是什么种族的？,精灵,亡灵
136,在生灵中传播邪恶、恐怖、不死状态的是什么军团？,天灾军团,近卫军团
137,天灾军团的创始人是谁？,耐奥祖,阿尔萨斯
138,卡尔多雷掌管的由森林和草场构成的繁荣动荡的土地叫什么森林？,费伍德森林,费伍德草场
139,为变形专家，什么职业能轻松地变身为熊形态、猫形态、飞行形态或者水栖形态？,德鲁伊,兽人
140,魔兽世界中，有一个部落玩家，经常欺负小号，是谁？,三季稻,三季田
141,以做搞笑的游戏解说视频而出名的国服魔兽世界著名玩家，叫什么？,苍天哥,大地妹
142,2009年电影【无形杀】是根据魔兽世界中什么事件改编的？,铜须门,胡须门
143,魔兽世界中有一个比较出名的插件叫什么插件？,大脚插件,小脚插件
144,在萨丁农场对农场旁的任意一只小鸡不断输入“/小鸡”联盟玩家可以获得什么任务？,小鸡咕嘎嘎,小鸭咕嘎嘎
145,”种族不代表光荣，我见过最崇高的兽人，也见过最拙劣的人类“是谁说的？,提里奥·弗丁,提外奥·弗丁
146,游戏中，【暮光首领】有几个头？,两个,三个
147,霜狼督军的头发是什么颜色的？,银白色,粉红色
148,游戏中逐日者使用的武器是什么？,法杖,长剑
149,游戏中，钻石招募中的【招募十次】必定可以获得一个什么颜色的英雄？,橙色英雄,紫色英雄
150,羁绊天赋是否需要双方都在场上并存活？,需要,不需要
151,游戏中的两种月卡是否能同时生效?,可以生效,不可以
152,游戏中有一个英雄叫先知，这个英雄是什么类型的英雄？,辅助型,物攻型
153,游戏中分解多余的英雄，可以获得什么？,英魂,战魂
154,在【夺宝】系统中，抢夺的技能书碎片可以合成什么？,英雄技能书,英雄装备
155,在每天的12点到14点，在福利面板中，可以补充60点体力的活动叫什么？,烹饪大餐,烹饪快餐
156,游戏中的道具商店，氪金宝箱是否可以开出紫色装备？,可以,不可以
157,游戏中，军团每周捐献需要消耗的“军团徽记”怎么获得？,道具商店购买,好友赠送
158,游戏中，增加英雄的好感等级有什么作用？,增加英雄能力,改变英雄外观
159,祭祀系统中，玩家可以获得下列哪些东西？,铜币、战魂、鲜花,银币、英魂、小草
160,古老的潘达利亚孕育了一个独特的什么物种？,熊猫人,蜘蛛人
161,魔兽世界中，玩家选择的第一个中立的种族是什么种族？,熊猫人,兽人
162,熊猫人的出生地叫什么名字？,迷踪岛,迷雾盗
163,熊猫人之谜资料片开启后，魔兽世界中玩家的等级上限变为多少级？,90级,100级
164,熊猫人的种族坐骑是什么？,龙龟,仙鹤
165,熊猫人可以选择的职业是下列哪个？,武僧,死亡骑士
166,一群由术士领导的并且拥抱黑暗，探求邪恶，只为追寻力量的团队叫什么？,暗影议会,白昼议会
167,暗影议会是谁创立的？,古尔丹,古天乐
168,塔隆戈尔是一名术士，也是谁的学徒？,古尔丹,奥格瑞姆 
169,暮锤氏族的酋长叫什么？,寇加尔,寇减一
170,前部落酋长名字叫什么？,加尔鲁什·地狱咆哮,加尔鲁什·天堂怒吼
171,在重生成死亡之翼（一条巨大的燃烧着的恶龙），它之前叫什么？,耐萨里奥,耐萨奥利奥
172,黑龙公主奥妮克希亚潜伏在了暴风城，暗中策划着什么？,绑架暴风城国王,挑选黑龙女婿
173,死亡之翼原名耐萨里奥，它是什么之王？,黑龙之王,黑蛇之王
174,曾被兽人部落用恶魔之魂捕获的阿莱克斯塔萨是什么？,红龙女王,红蛇女王
175,红龙军团神奇的女王，同时又是什么守护者？,生命守护者,时间守护者
176,魔兽中，唯一的女真神——月亮之神，叫什么？,艾露恩,艾露仇
177,月神艾露恩与白鹿玛洛恩生下了谁？,塞纳留斯 ,塞纳去斯
178,在大灾变后，玛洛恩被谁复活，从而拯救了卡利姆多？,玛法里奥,艾露恩
179,上古之战泰兰德被囚禁时，谁给了泰兰德一个无敌护罩导致泰坦萨格拉斯也对其无可奈何？,艾露恩,塞纳留斯 
180,魔法都市指的是魔兽地图中哪个城市的名字？,达拉然 ,铁炉堡
181,堕落的万神殿最强泰坦是谁？,黑暗泰坦——萨格拉斯 ,深海泰坦——光明骑士
182,提瑞斯法议会最强大的守护者是谁？,艾格文,吉安娜
183,哪个议会统治着奎尔萨拉斯？,银月议会,光明议会
184,艾格文诱惑了宫廷法师聂拉斯·埃兰，并与之生下了一个男孩，这个男孩叫什么？,大法师麦迪文,加加恩·火锤
185,是谁的精魄侵入了艾格文的身体，并在此后控制了她的儿子麦迪文？,萨格拉斯,奈文摩尔
186,奥蕾莉亚要塞高耸的魔法塔与石质塔楼代表了高等精灵与人类的两种什么信念？,剑与魔法,刀与法杖
187,图拉扬和高等精灵中的谁，是情侣？,奥蕾莉亚·风行者 ,温蕾萨·风行者 
188,救赎者·阿拉托尔是谁的孩子？,图拉杨&奥蕾莉亚·风行者,祖安狂人&战争女神
189,部落领袖奥格瑞姆·毁灭之锤在东部王国中部的黑石塔决斗中成功击杀了谁？,安度因·洛萨,图拉杨
190,黑暗神庙的最终首领是谁？,伊利丹怒风,玛法里奥怒风
191,时光之穴在哪张地图？,塔纳利斯,荆棘谷
192,星界法师麦迪文的唯一学徒叫什么？,卡德加,卡德减
193,通往外域的黑暗之门座落在哪里？,诅咒之地,西瘟疫之地
194,瑞文戴尔男爵因为掉落什么被玩家经常光顾？,骸骨战马,白鸡
195,最早背叛德莱尼并且成为黑暗泰坦萨格拉斯的左膀右臂的艾瑞达——污染者全名叫什么？,阿克蒙德,阿克蒙羞
196,瓦里安·乌瑞恩是谁的儿子？,暴风城国王莱恩,先知维纶
197,第三大战平息多年之后，瓦里安·乌瑞恩被黑龙公主的爪牙绑架，分裂成几个自己？,两个,五个
198,瓦里安·乌瑞恩为保证联盟部队安全撤退，在破碎群岛死于谁的手中？,古尔丹,迦罗娜·哈弗欧森
199,格罗姆·地狱咆哮和谁一起饮下玛诺洛斯之血？,萨鲁法尔大王 ,伊利丹*怒风
200,卡拉赞的最终首领是谁？,玛克扎尔王子,莫罗斯
,,,
Table:CsvQuestionAward,,,
tid,commanderTid,attack,money
#tid表示轮次,,,
1,1,20,5000
2,2,20,10000
3,3,20,15000
4,4,20,20000
5,5,20,25000
6,6,20,30000
7,7,20,35000
8,8,20,40000
9,9,20,45000
10,9,20,50000
11,8,20,50000
12,7,20,50000
13,6,20,50000
14,5,20,50000
15,4,20,50000
16,3,20,50000
17,2,20,50000
18,1,20,50000
